Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
United Kingdom,2015-01-13,0.0,0.0,1.0,,,,,0.0
Mali,2015-01-13,1.0,1.0,7.0,,,,,6.0
Guinea,2015-01-13,7.0,284.0,2508.0,2799.0,,284.0,1523.0,1807.0
Liberia,2015-01-13,3322.0,1833.0,3123.0,8278.0,,,,3515.0
Sierra Leone,2015-01-13,2041.0,287.0,7766.0,10094.0,158.0,208.0,2683.0,3049.0
Liberia,2015-01-14,3365.0,1839.0,3127.0,8331.0,,,,3538.0
United States of America,2015-01-14,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-01-14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-01-14,8.0,284.0,2514.0,2806.0,,284.0,1530.0,1814.0
Spain,2015-01-14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-01-14,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-01-14,2051.0,287.0,7786.0,10124.0,158.0,208.0,2696.0,3062.0
Mali,2015-01-14,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-01-14,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-01-15,2061.0,287.0,7802.0,10150.0,158.0,208.0,2701.0,3067.0
Liberia,2015-01-15,3394.0,1841.0,3127.0,8362.0,,,,3556.0
United States of America,2015-01-15,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-01-15,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-01-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-01-15,11.0,284.0,2522.0,2817.0,,284.0,1537.0,1821.0
United Kingdom,2015-01-15,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-01-15,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-01-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-01-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-01-16,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-01-16,12.0,288.0,2525.0,2825.0,,288.0,1541.0,1829.0
Mali,2015-01-16,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-01-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-01-16,3394.0,1841.0,3127.0,8362.0,,,,3556.0
United States of America,2015-01-16,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-01-16,2074.0,287.0,7825.0,10186.0,158.0,208.0,2717.0,3083.0
United Kingdom,2015-01-16,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-01-19,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-01-19,3454.0,1850.0,3131.0,8435.0,,,,3587.0
United Kingdom,2015-01-19,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-01-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-01-19,15.0,319.0,2539.0,2873.0,,319.0,1556.0,1875.0
Sierra Leone,2015-01-19,2136.0,287.0,7883.0,10306.0,158.0,208.0,2766.0,3132.0
Senegal,2015-01-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-01-19,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-01-19,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-01-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-01-20,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-01-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-01-20,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-01-20,3489.0,1854.0,3135.0,8478.0,,,,3605.0
Guinea,2015-01-20,13.0,319.0,2539.0,2871.0,,319.0,1557.0,1876.0
Mali,2015-01-20,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-01-20,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-01-20,2150.0,287.0,7903.0,10340.0,158.0,208.0,2779.0,3145.0
Sierra Leone,2015-01-21,2150.0,287.0,7903.0,10340.0,158.0,208.0,2779.0,3145.0
Nigeria,2015-01-21,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-01-21,3489.0,1854.0,3135.0,8478.0,,,,3605.0
Spain,2015-01-21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-01-21,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-01-21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-01-21,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-01-21,13.0,319.0,2539.0,2871.0,,319.0,1557.0,1876.0
United Kingdom,2015-01-21,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-01-22,3534.0,1854.0,3136.0,8524.0,,,,3636.0
Senegal,2015-01-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-01-22,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-01-22,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-01-22,2166.0,287.0,7909.0,10362.0,158.0,208.0,2787.0,3153.0
Mali,2015-01-22,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-01-22,12.0,319.0,2542.0,2873.0,,319.0,1560.0,1879.0
Spain,2015-01-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-01-22,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-01-23,2192.0,287.0,7921.0,10400.0,158.0,208.0,2793.0,3159.0
Mali,2015-01-23,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-01-23,3534.0,1854.0,3136.0,8524.0,,,,3636.0
Spain,2015-01-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-01-23,9.0,319.0,2545.0,2873.0,,319.0,1561.0,1880.0
Senegal,2015-01-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-01-23,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-01-23,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-01-23,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-01-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-01-26,2241.0,287.0,7963.0,10491.0,158.0,208.0,2829.0,3195.0
Nigeria,2015-01-26,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-01-26,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-01-26,18.0,332.0,2559.0,2909.0,,332.0,1574.0,1906.0
United Kingdom,2015-01-26,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-01-26,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-01-26,3534.0,1854.0,3136.0,8524.0,,,,3636.0
Spain,2015-01-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-01-27,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-01-27,3620.0,1864.0,3138.0,8622.0,,,,3686.0
United States of America,2015-01-27,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-01-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-01-27,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-01-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-01-27,2263.0,287.0,7968.0,10518.0,158.0,208.0,2833.0,3199.0
United Kingdom,2015-01-27,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-01-27,16.0,332.0,2569.0,2917.0,,332.0,1578.0,1910.0
Senegal,2015-01-28,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-01-28,3620.0,1864.0,3138.0,8622.0,,,,3686.0
United States of America,2015-01-28,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-01-28,2263.0,287.0,7968.0,10518.0,158.0,208.0,2833.0,3199.0
Spain,2015-01-28,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-01-28,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-01-28,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-01-28,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-01-28,16.0,332.0,2569.0,2917.0,,332.0,1578.0,1910.0
Mali,2015-01-29,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-01-29,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-01-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-01-29,3641.0,1864.0,3138.0,8643.0,,,,3700.0
United States of America,2015-01-29,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-01-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-01-29,2273.0,287.0,7977.0,10537.0,158.0,208.0,2841.0,3207.0
Guinea,2015-01-29,18.0,332.0,2571.0,2921.0,,332.0,1579.0,1911.0
United Kingdom,2015-01-29,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-01-30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-01-30,3641.0,1864.0,3138.0,8643.0,,,,3700.0
Sierra Leone,2015-01-30,2285.0,287.0,7989.0,10561.0,158.0,208.0,2850.0,3216.0
United Kingdom,2015-01-30,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-01-30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-01-30,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-01-30,13.0,332.0,2575.0,2920.0,,332.0,1581.0,1913.0
Nigeria,2015-01-30,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-01-30,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-02-02,3666.0,1864.0,3138.0,8668.0,,,,3710.0
Sierra Leone,2015-02-02,2378.0,287.0,8042.0,10707.0,158.0,208.0,2908.0,3274.0
United States of America,2015-02-02,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-02-02,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-02-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-02-02,24.0,342.0,2593.0,2959.0,,342.0,1595.0,1937.0
Mali,2015-02-02,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-02-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-02-02,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-02-03,20.0,347.0,2608.0,2975.0,,347.0,1597.0,1944.0
Mali,2015-02-03,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-02-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-02-03,3717.0,1869.0,3143.0,8729.0,,,,3739.0
Nigeria,2015-02-03,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-02-03,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-02-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-02-03,2394.0,287.0,8059.0,10740.0,158.0,208.0,2910.0,3276.0
United States of America,2015-02-03,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-02-04,2394.0,287.0,8059.0,10740.0,158.0,208.0,2910.0,3276.0
Mali,2015-02-04,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-02-04,3732.0,1870.0,3143.0,8745.0,,,,3746.0
Guinea,2015-02-04,20.0,347.0,2608.0,2975.0,,347.0,1597.0,1944.0
Spain,2015-02-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-02-04,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-02-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-02-04,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-02-04,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-02-05,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-02-05,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-02-05,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-02-05,18.0,347.0,2621.0,2986.0,,347.0,1600.0,1947.0
Sierra Leone,2015-02-05,2406.0,287.0,8063.0,10756.0,158.0,208.0,2920.0,3286.0
Nigeria,2015-02-05,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-02-05,3732.0,1870.0,3143.0,8745.0,,,,3746.0
Senegal,2015-02-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-02-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-02-06,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-02-06,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-02-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-02-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-02-06,2421.0,287.0,8084.0,10792.0,158.0,208.0,2935.0,3301.0
Liberia,2015-02-06,3732.0,1870.0,3143.0,8745.0,,,,3746.0
United States of America,2015-02-06,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-02-06,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-02-06,11.0,349.0,2628.0,2988.0,,349.0,1608.0,1957.0
Guinea,2015-02-10,18.0,352.0,2674.0,3044.0,,352.0,1643.0,1995.0
Spain,2015-02-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-02-10,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-02-10,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-02-10,3862.0,1873.0,3146.0,8881.0,,,3826.0,3826.0
Senegal,2015-02-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-02-10,2512.0,287.0,8135.0,10934.0,158.0,208.0,2975.0,3341.0
United Kingdom,2015-02-10,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-02-10,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-02-11,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-02-11,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-02-11,2512.0,287.0,8135.0,10934.0,158.0,208.0,2975.0,3341.0
Guinea,2015-02-11,18.0,352.0,2674.0,3044.0,,352.0,1643.0,1995.0
Senegal,2015-02-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-02-11,3862.0,1873.0,3146.0,8881.0,,,3826.0,3826.0
Mali,2015-02-11,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-02-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-02-11,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-02-12,16.0,367.0,2685.0,3068.0,,367.0,1651.0,2018.0
Sierra Leone,2015-02-12,2529.0,287.0,8138.0,10954.0,158.0,208.0,2984.0,3350.0
Liberia,2015-02-12,3862.0,1873.0,3146.0,8881.0,,,3826.0,3826.0
Nigeria,2015-02-12,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-02-12,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-02-12,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-02-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-02-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-02-12,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-02-13,2545.0,287.0,8155.0,10987.0,158.0,208.0,2997.0,3363.0
Senegal,2015-02-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-02-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-02-13,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-02-13,15.0,373.0,2693.0,3081.0,,373.0,1659.0,2032.0
United Kingdom,2015-02-13,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-02-13,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-02-13,3908.0,1876.0,3147.0,8931.0,,,3858.0,3858.0
Nigeria,2015-02-13,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-02-16,3982.0,1876.0,3149.0,9007.0,,,,3900.0
United States of America,2015-02-16,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-02-16,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-02-16,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-02-16,7.0,374.0,2720.0,3101.0,,374.0,1678.0,2052.0
Senegal,2015-02-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-02-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-02-16,2588.0,287.0,8199.0,11074.0,158.0,208.0,3035.0,3401.0
Nigeria,2015-02-16,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Nigeria,2015-02-17,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-02-17,3982.0,1876.0,3149.0,9007.0,,,,3900.0
United States of America,2015-02-17,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-02-17,7.0,374.0,2727.0,3108.0,,374.0,1683.0,2057.0
Sierra Leone,2015-02-17,2604.0,287.0,8212.0,11103.0,158.0,208.0,3042.0,3408.0
Spain,2015-02-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-02-17,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-02-17,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-02-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-02-18,2604.0,287.0,8212.0,11103.0,158.0,208.0,3042.0,3408.0
United Kingdom,2015-02-18,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-02-18,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-02-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-02-18,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-02-18,3982.0,1876.0,3149.0,9007.0,,,,3900.0
Senegal,2015-02-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-02-18,7.0,374.0,2727.0,3108.0,,374.0,1683.0,2057.0
United States of America,2015-02-18,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-02-19,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-02-19,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-02-19,4062.0,1882.0,3152.0,9096.0,,,,3947.0
Senegal,2015-02-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-02-19,2645.0,287.0,8223.0,11155.0,158.0,208.0,3057.0,3423.0
Spain,2015-02-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-02-19,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-02-19,2.0,381.0,2732.0,3115.0,,381.0,1686.0,2067.0
United Kingdom,2015-02-19,0.0,0.0,1.0,1.0,,,,0.0
United Kingdom,2015-02-20,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-02-20,4062.0,1882.0,3152.0,9096.0,,,,3947.0
Guinea,2015-02-20,2.0,384.0,2734.0,3120.0,,384.0,1688.0,2072.0
United States of America,2015-02-20,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-02-20,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-02-20,2645.0,287.0,8223.0,11155.0,158.0,208.0,3057.0,3423.0
Mali,2015-02-20,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-02-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-02-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-02-23,4188.0,1888.0,3153.0,9229.0,,,,4032.0
Senegal,2015-02-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-02-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-02-23,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-02-23,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-02-23,2645.0,287.0,8223.0,11155.0,158.0,208.0,3057.0,3423.0
Nigeria,2015-02-23,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-02-23,10.0,387.0,2758.0,3155.0,,387.0,1699.0,2086.0
United States of America,2015-02-23,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-02-25,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-02-25,2725.0,287.0,8289.0,11301.0,158.0,208.0,3095.0,3461.0
Liberia,2015-02-25,4197.0,1888.0,3153.0,9238.0,,,,4037.0
Nigeria,2015-02-25,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-02-25,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-02-25,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-02-25,6.0,387.0,2762.0,3155.0,,387.0,1704.0,2091.0
Senegal,2015-02-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-02-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-02-26,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-02-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-02-26,7.0,387.0,2781.0,3175.0,,387.0,1714.0,2101.0
Sierra Leone,2015-02-26,2746.0,287.0,8308.0,11341.0,158.0,208.0,3113.0,3479.0
United Kingdom,2015-02-26,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-02-26,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-02-26,4224.0,1888.0,3153.0,9265.0,,,,4057.0
Nigeria,2015-02-26,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-02-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-02-27,2763.0,287.0,8320.0,11370.0,158.0,208.0,3124.0,3490.0
Mali,2015-02-27,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-02-27,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-02-27,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-02-27,8.0,392.0,2790.0,3190.0,,392.0,1721.0,2113.0
United Kingdom,2015-02-27,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-02-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-02-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-02-27,4224.0,1888.0,3153.0,9265.0,,,,4057.0
Guinea,2015-03-02,5.0,392.0,2808.0,3205.0,,392.0,1735.0,2127.0
United Kingdom,2015-03-02,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-03-02,2803.0,287.0,8353.0,11443.0,158.0,208.0,3164.0,3530.0
Spain,2015-03-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-03-02,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-03-02,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-03-02,4224.0,1888.0,3153.0,9265.0,,,,4057.0
United States of America,2015-03-02,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-03-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-03-04,4224.0,1888.0,3153.0,9265.0,,,,4057.0
Nigeria,2015-03-04,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-03-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-03-04,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-03-04,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-03-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-03-04,2803.0,287.0,8353.0,11443.0,158.0,208.0,3164.0,3530.0
Guinea,2015-03-04,5.0,392.0,2808.0,3205.0,,392.0,1735.0,2127.0
United Kingdom,2015-03-04,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-03-05,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-03-05,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-03-05,12.0,392.0,2833.0,3237.0,,392.0,1749.0,2141.0
Spain,2015-03-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-03-05,4222.0,1877.0,3150.0,9249.0,,,,4117.0
Senegal,2015-03-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-03-05,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-03-05,2827.0,287.0,8383.0,11497.0,158.0,208.0,3199.0,3565.0
United States of America,2015-03-05,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United States of America,2015-03-06,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-03-06,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-03-06,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Liberia,2015-03-06,4222.0,1877.0,3150.0,9249.0,,,,4117.0
Sierra Leone,2015-03-06,2841.0,287.0,8389.0,11517.0,158.0,208.0,3210.0,3576.0
Guinea,2015-03-06,16.0,392.0,2840.0,3248.0,,392.0,1755.0,2147.0
Spain,2015-03-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-03-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-03-06,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-03-10,22.0,392.0,2871.0,3285.0,,392.0,1778.0,2170.0
Mali,2015-03-10,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-03-10,2904.0,287.0,8428.0,11619.0,158.0,208.0,3263.0,3629.0
Spain,2015-03-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-03-10,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
